3.689224048;6.0
2.32232536;5.6
2.9271603582;5.5
3.255818112;5.7
2.012025215;5.7
2.1737552967;5.6
3.541852417;5.5
3.4238186096;5.5
2.2951927812;5.3
3.4611425349;5.3
2.4279056633;5.2
0.9185538697;5.0
1.9950166044;4.9
2.1509229512;4.7
0.8230684438;4.6
1.3138891373;4.4
2.0472582279;4.5
1.8711484503;4.4
1.4595626565;4.3
2.9851968005;4.3
2.9606908949;4.2
2.9389375819;4.1
3.9393819186;4.0
3.1224081274;3.9
3.6396299109;4.0
2.8407557631;3.9
3.8088671351;4.2
2.7940844363;4.4
1.1275045096;4.8
-0.2996060771;5.5
1.2757100194;5.7
3.1325852207;5.8
2.1472682852;5.7
2.3584543905;5.9
4.0935821432;5.9
-0.6549612034;6.1
2.9736191369;6.1
1.5152927209;5.8
3.3714259395;5.7
3.1307263406;5.6
2.5428258991;5.4
4.2714191488;5.4
2.0158107322;5.3
2.6940734014;5.1
6.0124073441;5.0
3.7121215806;5.0
2.0789189797;4.7
3.5934302668;4.6
3.7583664641;4.6
-1.645378399;4.4
3.903141753;4.5
4.5047538024;4.5
2.5240694506;4.7
4.8773514388;4.8
4.309449612;5.0
5.1701832079;5.3
6.1198388021;6.0
-9.2666666495;6.9
-2.7609810553;8.3
2.1207652671;9.3
3.42685219;9.6
3.1195373366;9.9
0.5727823508;9.8
-0.0386508107;9.6
1.2313073976;9.5
3.0672501766;9.6
4.1357284682;9.0
4.8437021293;9.1
2.6088206412;9.0
1.5395431278;8.6
2.0774428474;8.2
1.373750921;8.2
1.6997081598;8.0
2.3848154015;7.8
1.1810624321;7.7
0.3998035781;7.5
2.1404112863;7.2
1.1291420037;7.0
