15.300,13.320,0.444,0.445,0.429,0.472,0.431,0.288,2.220
15.230,13.130,0.437,0.423,0.425,0.441,0.423,0.278,2.180
14.400,12.310,0.405,0.386,0.399,0.436,0.395,0.261,2.220
14.040,11.950,0.438,0.414,0.401,0.433,0.390,0.261,2.230
16.420,14.610,0.494,0.474,0.454,0.568,0.439,0.296,2.300
15.980,13.790,0.477,0.461,0.440,0.564,0.420,0.281,2.410
15.550,12.990,0.451,0.445,0.425,0.532,0.414,0.289,2.570
15.530,13.550,0.460,0.469,0.427,0.530,0.431,0.291,2.460
14.500,13.640,0.478,0.467,0.430,0.551,0.426,0.299,2.400
15.710,14.000,0.495,0.488,0.435,0.598,0.437,0.291,2.230
15.480,13.950,0.499,0.488,0.434,0.566,0.432,0.286,2.140
15.030,14.390,0.489,0.484,0.414,0.524,0.421,0.279,2.200
13.910,14.560,0.459,0.466,0.395,0.487,0.403,0.268,2.130
14.990,14.450,0.472,0.477,0.390,0.469,0.396,0.259,2.090
15.020,13.630,0.468,0.472,0.383,0.461,0.397,0.259,2.100
13.420,12.460,0.430,0.428,0.377,0.471,0.384,0.243,2.000
12.040,10.920,0.425,0.420,0.364,0.474,0.377,0.236,2.110
14.170,11.960,0.435,0.432,0.387,0.472,0.399,0.242,2.380
14.410,11.870,0.446,0.445,0.385,0.470,0.395,0.245,2.390
13.940,11.660,0.449,0.444,0.367,0.471,0.389,0.242,2.360
14.480,12.040,0.440,0.434,0.372,0.465,0.401,0.246,2.210
13.890,12.120,0.397,0.395,0.349,0.470,0.377,0.249,2.050
14.240,12.610,0.392,0.378,0.352,0.476,0.373,0.246,1.950
13.830,12.100,0.409,0.386,0.351,0.480,0.381,0.245,1.860
13.120,11.390,0.408,0.378,0.339,0.465,0.375,0.240,1.850
13.330,12.000,0.404,0.375,0.340,0.452,0.367,0.241,1.930
13.650,12.160,0.393,0.363,0.348,0.457,0.366,0.241,1.810
13.980,12.420,0.401,0.370,0.372,0.458,0.392,0.234,1.720
14.450,12.610,0.399,0.376,0.391,0.486,0.408,0.238,1.830
14.880,12.920,0.426,0.404,0.403,0.492,0.424,0.254,2.070
15.780,14.550,0.455,0.426,0.420,0.486,0.434,0.261,2.240
15.830,14.430,0.460,0.446,0.416,0.479,0.434,0.254,2.200
15.020,13.610,0.448,0.440,0.392,0.465,0.436,0.255,1.990
