observation_date,CPIAUCSL
5/1/1985,2.24089701
6/1/1985,3.353518717
7/1/1985,2.230483914
8/1/1985,2.226345722
9/1/1985,2.222222857
10/1/1985,4.432138002
11/1/1985,5.517251098
12/1/1985,5.492000433
1/1/1986,4.375574584
2/1/1986,-2.185792954
3/1/1986,-6.581369331
4/1/1986,-4.407718454
5/1/1986,3.307305722
6/1/1986,4.39560931
7/1/1986,1.096391122
8/1/1986,1.095390309
9/1/1986,4.371589534
10/1/1986,2.179837112
11/1/1986,2.175884549
12/1/1986,4.339968564
1/1/1987,6.480663816
2/1/1987,4.301079873
3/1/1987,4.285718841
4/1/1987,5.335713549
5/1/1987,3.1900772
6/1/1987,5.298021851
7/1/1987,3.167621725
8/1/1987,5.26085893
9/1/1987,4.192144001
10/1/1987,3.134525074
11/1/1987,4.166670853
12/1/1987,2.077922597
1/1/1988,4.145081842
2/1/1988,2.067183974
3/1/1988,3.094114306
4/1/1988,7.188724965
5/1/1988,3.06774773
6/1/1988,5.095549058
7/1/1988,5.074003331
8/1/1988,5.052639044
9/1/1988,5.031453912
10/1/1988,4.010028794
11/1/1988,3.996673137
12/1/1988,3.983406147
1/1/1989,4.960734638
2/1/1989,3.953875076
3/1/1989,5.906492647
4/1/1989,8.805583743
5/1/1989,5.83469545
6/1/1989,3.874095375
7/1/1989,3.861628433
8/1/1989,0
9/1/1989,2.888088037
10/1/1989,5.755406716
11/1/1989,4.775175422
12/1/1989,3.806505967
1/1/1990,11.34760229
2/1/1990,4.696679185
3/1/1990,5.611857461
4/1/1990,2.79611777
5/1/1990,1.860465489
6/1/1990,7.413150989
7/1/1990,5.529963703
8/1/1990,10.07255055
9/1/1990,8.178751842
10/1/1990,8.123385666
11/1/1990,2.695620752
12/1/1990,4.479288516
1/1/1991,4.462630654
2/1/1991,0.890538074
3/1/1991,0
4/1/1991,2.667655786
5/1/1991,4.432956648
6/1/1991,3.534612276
7/1/1991,1.763409575
8/1/1991,3.519064106
9/1/1991,3.50877443
10/1/1991,1.750547356
11/1/1991,5.236371945
12/1/1991,3.478263305
1/1/1992,0.867992805
2/1/1992,2.600217702
3/1/1992,4.321214608
4/1/1992,2.585279276
5/1/1992,2.579721524
6/1/1992,3.431024496
7/1/1992,3.421242517
8/1/1992,2.55954594
9/1/1992,2.554098162
10/1/1992,5.091945405
11/1/1992,3.382666088
12/1/1992,1.687763991
1/1/1993,4.209053772
2/1/1993,2.518363988
3/1/1993,1.675977926
4/1/1993,4.179732543
5/1/1993,3.333335477
6/1/1993,0.831889115
7/1/1993,1.662050127
8/1/1993,2.488766879
9/1/1993,1.656314963
10/1/1993,4.95527201
11/1/1993,3.292183135
12/1/1993,2.463223581
1/1/1994,0
2/1/1994,3.276452547
3/1/1994,3.26753095
4/1/1994,0.815494425
5/1/1994,2.443163382
6/1/1994,3.249832724
7/1/1994,4.04995322
8/1/1994,4.841970255
9/1/1994,2.41367832
10/1/1994,0.803481784
11/1/1994,3.208558061
12/1/1994,2.400801068
1/1/1995,3.193614659
2/1/1995,3.185137902
3/1/1995,2.383317566
4/1/1995,4.752481459
5/1/1995,2.369201164
6/1/1995,2.364532785
7/1/1995,1.573770717
8/1/1995,2.356792902
9/1/1995,1.568627674
10/1/1995,3.131117236
11/1/1995,1.562500221
12/1/1995,1.56046836
1/1/1996,6.221660081
2/1/1996,2.324831208
3/1/1996,3.86473764
4/1/1996,4.621315083
5/1/1996,2.304000708
6/1/1996,2.299585501
7/1/1996,2.295187184
8/1/1996,1.527689576
