4.3497,2.54,5.3,2.0158
2.1784,2.86,5.1,2.6941
3.2511,3.36,5.0,6.0124
2.2076,3.83,5.0,3.7121
4.8247,4.39,4.7,2.0789
1.2410,4.70,4.6,3.5934
0.3507,4.91,4.6,3.7584
3.1102,4.90,4.4,-1.6454
0.2635,4.98,4.5,3.9031
3.0680,4.74,4.5,4.5048
2.6861,4.30,4.7,2.5241
1.4590,3.39,4.8,4.8774
-2.6951,2.04,5.0,4.3094
1.9769,1.63,5.3,5.1702
-1.9850,1.49,6.0,6.1198
-8.7008,0.30,6.9,-9.2667
-5.5966,0.21,8.3,-2.6574
-0.4233,0.17,9.3,1.9704
1.2685,0.16,9.6,3.4793
3.8062,0.06,9.9,3.0660
1.5787,0.11,9.8,0.7385
3.8261,0.15,9.6,-0.2301
2.7399,0.16,9.5,1.3416
2.7695,0.14,9.5,2.9887
-1.2977,0.13,9.0,4.3146
3.1379,0.05,9.0,4.5465
1.3514,0.02,9.0,2.8628
4.7519,0.01,8.7,1.4000
3.6443,0.07,8.3,2.2810
1.1970,0.09,8.2,1.0011
2.7466,0.10,8.0,2.0729
0.1442,0.09,7.8,2.1626
,,,
,,,
,,,
,,,
,,,
,,,
